Id;Namn;Dag 1;Dag 2;Dag 180;Dag 181;Dag 365;Dag 366
1659;Gnosis;2017-05-01;2017-05-02;2017-10-28;2017-10-29;2018-05-01;2018-05-02
3301;Invictus Hyperion Fund;2018-09-17;2018-09-18;2019-03-16;2019-03-17;2019-09-17;2019-09-18
2416;Theta Network;2018-01-17;2018-01-18;2018-07-16;2018-07-17;2019-01-17;2019-01-18
2019;Viberate;2017-10-06;2017-10-07;2018-04-04;2018-04-05;2018-10-06;2018-10-07
2231;Flixxo;2017-11-26;2017-11-27;2018-05-25;2018-05-26;2018-11-26;2018-11-27
4199;Swace;2019-08-01;2019-08-02;2020-01-28;2020-01-29;2020-07-31;2020-08-01
2277;SmartMesh;2017-12-14;2017-12-15;2018-06-12;2018-06-13;2018-12-14;2018-12-15
3347;Carats.io;2018-09-26;2018-09-27;2019-03-25;2019-03-26;2019-09-26;2019-09-27
2627;TokenPay;2018-04-05;2018-04-06;2018-10-02;2018-10-03;2019-04-05;2019-04-06
1700;aeternity;2017-06-01;2017-06-02;2017-11-28;2017-11-29;2018-06-01;2018-06-02
2280;Filecoin;2017-12-13;2017-12-14;2018-06-11;2018-06-12;2018-12-13;2018-12-14
3065;Ice Rock Mining;2018-08-07;2018-08-08;2019-02-03;2019-02-04;2019-08-07;2019-08-08
4067;Cryptoindex;2019-07-04;2019-07-05;2019-12-31;2020-01-01;2020-07-03;2020-07-04
2034;Everex;2017-10-10;2017-10-11;2018-04-08;2018-04-09;2018-10-10;2018-10-11
4105;CoinMetro;2019-08-01;2019-08-02;2020-01-28;2020-01-29;2020-07-31;2020-08-01
4173;Levolution;2019-07-26;2019-07-27;2020-01-22;2020-01-23;2020-07-25;2020-07-26
3389;Tolar HashNET;2018-10-05;2018-10-06;2019-04-03;2019-04-04;2019-10-05;2019-10-06
3631;FOAM;2018-12-11;2018-12-12;2019-06-09;2019-06-10;2019-12-11;2019-12-12
5401;CoinLoan;2020-08-01;2020-08-02;2021-01-28;2021-01-29;2021-08-01;2021-08-02
1991;Rivetz;2017-09-25;2017-09-26;2018-03-24;2018-03-25;2018-09-25;2018-09-26
2279;Playkey;2017-12-20;2017-12-21;2018-06-18;2018-06-19;2018-12-20;2018-12-21
4118;The Force Protocol;2019-07-17;2019-07-18;2020-01-13;2020-01-14;2020-07-16;2020-07-17
4066;chiliZ;2019-07-01;2019-07-02;2019-12-28;2019-12-29;2020-06-30;2020-07-01
3741;Eurocoinpay;2019-02-14;2019-02-15;2019-08-13;2019-08-14;2020-02-14;2020-02-15
4289;ioeX;2019-08-26;2019-08-27;2020-02-22;2020-02-23;2020-08-25;2020-08-26
5538;BuzzShow;2020-05-05;2020-05-06;2020-11-01;2020-11-02;2021-05-05;2021-05-06
5623;Skillchain;2020-05-25;2020-05-26;2020-11-21;2020-11-22;2021-05-25;2021-05-26
2237;EventChain;2017-11-29;2017-11-30;2018-05-28;2018-05-29;2018-11-29;2018-11-30
3914;GlitzKoin;2019-05-07;2019-05-08;2019-11-03;2019-11-04;2020-05-06;2020-05-07
1982;KyberNetwork;2017-09-24;2017-09-25;2018-03-23;2018-03-24;2018-09-24;2018-09-25
2602;Napoleon X;2018-03-21;2018-03-22;2018-09-17;2018-09-18;2019-03-21;2019-03-22
5647;Kadena;2020-05-31;2020-06-01;2020-11-27;2020-11-28;2021-05-31;2021-06-01
4103;Fleta;2019-07-16;2019-07-17;2020-01-12;2020-01-13;2020-07-15;2020-07-16
1948;Aventus;2017-09-06;2017-09-07;2018-03-05;2018-03-06;2018-09-06;2018-09-07
4300;VideoCoin;2019-08-28;2019-08-29;2020-02-24;2020-02-25;2020-08-27;2020-08-28
5444;Cartesi;2020-04-23;2020-04-24;2020-10-20;2020-10-21;2021-04-23;2021-04-24
4056;Ampleforth;2019-06-28;2019-06-29;2019-12-25;2019-12-26;2020-06-27;2020-06-28
5337;iOWN Token;2020-05-04;2020-05-05;2020-10-31;2020-11-01;2021-05-04;2021-05-05
3323;Paycent;2018-09-21;2018-09-22;2019-03-20;2019-03-21;2019-09-21;2019-09-22
3141;Blockpass;2018-08-10;2018-08-11;2019-02-06;2019-02-07;2019-08-10;2019-08-11
3843;Bolt;2019-04-05;2019-04-06;2019-10-02;2019-10-03;2020-04-04;2020-04-05
7321;youengine;2020-10-06;2020-10-07;2021-04-04;2021-04-05;2021-10-06;2021-10-07
2289;GIFTO;2017-12-18;2017-12-19;2018-06-16;2018-06-17;2018-12-18;2018-12-19
2137;Electroneum;2017-11-02;2017-11-03;2018-05-01;2018-05-02;2018-11-02;2018-11-03
1930;Primas;2017-08-28;2017-08-29;2018-02-24;2018-02-25;2018-08-28;2018-08-29
2748;Loki;2018-05-21;2018-05-22;2018-11-17;2018-11-18;2019-05-21;2019-05-22
5474;Ixinium;2020-04-22;2020-04-23;2020-10-19;2020-10-20;2021-04-22;2021-04-23
1830;SKinCoin;2017-07-21;2017-07-22;2018-01-17;2018-01-18;2018-07-21;2018-07-22
1715;MobileGo;2017-06-11;2017-06-12;2017-12-08;2017-12-09;2018-06-11;2018-06-12
2554;Lympo;2018-03-01;2018-03-02;2018-08-28;2018-08-29;2019-03-01;2019-03-02
5640;PointPay;2020-05-28;2020-05-29;2020-11-24;2020-11-25;2021-05-28;2021-05-29
2776;Travala;2018-05-28;2018-05-29;2018-11-24;2018-11-25;2019-05-28;2019-05-29
2943;Rocket Pool;2018-07-18;2018-07-19;2019-01-14;2019-01-15;2019-07-18;2019-07-19
